登録対象メディアID,登録広告枠名,参照メディアID,チェック用,正規表現
6952,寺尾_テストメディア（一般）_記事内1_25×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内25_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内26_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内26_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内27_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内27_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内28_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内28_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内29_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内29_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内30_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内30_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内31_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内31_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内32_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内32_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内33_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内33_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内34_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内34_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内35_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内35_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内36_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内36_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内37_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内37_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内38_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内38_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内39_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内39_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内40_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内40_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内41_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内41_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内42_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内42_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内43_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内43_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内44_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内44_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内45_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内45_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内46_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内46_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
6952,寺尾_テストメディア（一般）_記事内47_2×4表示_インフィード小,15260,2x4,\S*_\S*2x4表示_インフィード小
6952,新保テストマクロ用_記事内47_インフィード5連_インフィード小,15260,5連,\S*_\S*インフィード5連_インフィード小
